Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,New York City,United States,MM-17920,Michael Moore,1/10/2019,US-2019-157154,10011,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,East,Consumer,New York,Tables,40.00%,($373),4,"$1,018 "
Furniture,Philadelphia,United States,EP-13915,Emily Phan,11/7/2021,CA-2021-149888,19120,FUR-TA-10000849,Bevis Rectangular Conference Tables,East,Consumer,Pennsylvania,Tables,40.00%,($140),4,$350 
Furniture,Philadelphia,United States,TS-21610,Troy Staebel,8/16/2018,CA-2018-142839,19143,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,East,Consumer,Pennsylvania,Tables,40.00%,($227),6,$853 
Furniture,Yonkers,United States,KD-16270,Karen Daniels,3/1/2020,US-2020-143819,10701,FUR-TA-10001095,Chromcraft Round Conference Tables,East,Consumer,New York,Tables,40.00%,($265),8,$837 
Furniture,Philadelphia,United States,SS-20410,Shahid Shariari,11/21/2019,CA-2019-119879,19120,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",East,Consumer,Pennsylvania,Tables,40.00%,($480),8,"$1,253 "
Furniture,Philadelphia,United States,SV-20365,Seth Vernon,8/25/2021,CA-2021-159793,19140,FUR-BO-10001798,Bush Somerset Collection Bookcase,East,Consumer,Pennsylvania,Bookcases,50.00%,($89),2,$131 
Furniture,Philadelphia,United States,JW-15955,Joni Wasserman,8/16/2019,US-2019-164238,19120,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,East,Consumer,Pennsylvania,Bookcases,50.00%,($205),3,$301 
Furniture,Springfield,United States,TB-21595,Troy Blackwell,3/29/2020,CA-2020-127236,45503,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",East,Consumer,Ohio,Bookcases,50.00%,($168),5,$300 
Furniture,Auburn,United States,AM-10705,Anne McFarland,9/18/2020,CA-2020-145905,36830,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,South,Consumer,Alabama,Chairs,0.00%,$84 ,1,$351 
Furniture,Columbus,United States,AR-10570,Anemone Ratner,7/14/2020,CA-2020-157588,31907,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",South,Consumer,Georgia,Furnishings,0.00%,$16 ,1,$52 
Furniture,Columbus,United States,CS-12460,Chuck Sachs,7/3/2021,US-2021-126179,31907,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",South,Consumer,Georgia,Furnishings,0.00%,$6 ,1,$24 
Furniture,Southaven,United States,LM-17065,Liz MacKendrick,6/27/2018,CA-2018-104283,38671,FUR-TA-10001039,KI Adjustable-Height Table,South,Consumer,Mississippi,Tables,0.00%,$22 ,1,$86 
Furniture,Atlanta,United States,SG-20470,Sheri Gordon,7/26/2018,CA-2018-116190,30318,FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",South,Consumer,Georgia,Chairs,0.00%,$18 ,2,$68 
Furniture,Louisville,United States,JK-16090,Juliana Krohn,4/21/2019,CA-2019-107678,40214,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,South,Consumer,Kentucky,Chairs,0.00%,$52 ,2,$192 
Furniture,Monroe,United States,BD-11605,Brian Dahlen,6/11/2019,US-2019-123960,71203,FUR-FU-10004666,DAX Clear Channel Poster Frame,South,Consumer,Louisiana,Furnishings,0.00%,$11 ,2,$29 
Furniture,Mobile,United States,NW-18400,Natalie Webber,9/15/2019,CA-2019-102582,36608,FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,South,Consumer,Alabama,Tables,0.00%,$200 ,2,$802 
Furniture,Conway,United States,MS-17530,MaryBeth Skach,11/1/2019,CA-2019-108119,72032,FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",South,Consumer,Arkansas,Tables,0.00%,$45 ,2,$302 
Furniture,Salem,United States,AM-10705,Anne McFarland,7/21/2021,CA-2021-104731,24153,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",South,Consumer,Virginia,Bookcases,0.00%,$70 ,3,$303 
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2018,US-2018-147627,72401,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,Arkansas,Chairs,0.00%,$224 ,3,"$1,068 "
Furniture,Athens,United States,XP-21865,Xylona Preis,8/26/2020,CA-2020-163174,30605,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,South,Consumer,Georgia,Furnishings,0.00%,$41 ,3,$187 
Furniture,Atlanta,United States,JH-15910,Jonathan Howell,9/13/2019,CA-2019-118843,30318,FUR-FU-10003975,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,South,Consumer,Georgia,Furnishings,0.00%,$13 ,3,$130 
Furniture,Atlanta,United States,SG-20470,Sheri Gordon,7/26/2018,CA-2018-116190,30318,FUR-FU-10000719,"DAX Cubicle Frames, 8-1/2 x 11",South,Consumer,Georgia,Furnishings,0.00%,$9 ,3,$26 
Furniture,Georgetown,United States,AA-10645,Anna Andreadi,9/4/2020,CA-2020-131205,40324,FUR-FU-10003347,Coloredge Poster Frame,South,Consumer,Kentucky,Furnishings,0.00%,$17 ,3,$43 
Furniture,Louisville,United States,JK-16090,Juliana Krohn,4/21/2019,CA-2019-107678,40214,FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",South,Consumer,Kentucky,Furnishings,0.00%,$36 ,3,$210 
Furniture,Arlington,United States,KH-16510,Keith Herrera,6/18/2019,CA-2019-133242,22204,FUR-FU-10003464,"Seth Thomas 8 1/2"" Cubicle Clock",South,Consumer,Virginia,Furnishings,0.00%,$19 ,3,$61 
Furniture,Chesapeake,United States,MM-17920,Michael Moore,9/5/2020,US-2020-121013,23320,FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",South,Consumer,Virginia,Tables,0.00%,$314 ,3,"$1,653 "
Furniture,Richmond,United States,LC-17050,Liz Carlisle,2/3/2020,CA-2020-118514,40475,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,South,Consumer,Kentucky,Chairs,0.00%,$225 ,4,$866 
Furniture,Lafayette,United States,CS-12355,Christine Sundaresam,12/24/2021,CA-2021-124296,70506,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",South,Consumer,Louisiana,Chairs,0.00%,$61 ,4,$233 
Furniture,Columbia,United States,GB-14575,Giulietta Baptist,9/21/2019,CA-2019-158421,29203,FUR-CH-10000309,Global Comet Stacking Arm Chair,South,Consumer,South Carolina,Chairs,0.00%,$423 ,4,"$1,690 "
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2018,US-2018-147627,72401,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,Arkansas,Furnishings,0.00%,$12 ,4,$39 
Furniture,Columbus,United States,BD-11500,Bradley Drucker,1/26/2021,US-2021-105935,31907,FUR-FU-10002157,Artistic Insta-Plaque,South,Consumer,Georgia,Furnishings,0.00%,$24 ,4,$63 
Furniture,Henderson,United States,GW-14605,Giulietta Weimer,2/16/2020,CA-2020-108105,42420,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,South,Consumer,Kentucky,Furnishings,0.00%,$35 ,4,$318 
Furniture,Springfield,United States,BD-11605,Brian Dahlen,4/12/2020,CA-2020-112102,22153,FUR-TA-10004086,KI Adjustable-Height Table,South,Consumer,Virginia,Tables,0.00%,$76 ,4,$344 
Furniture,Hattiesburg,United States,JS-16030,Joy Smith,7/19/2020,CA-2020-163776,39401,FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,South,Consumer,Mississippi,Bookcases,0.00%,$126 ,5,$505 
Furniture,Chesapeake,United States,AI-10855,Arianne Irving,12/17/2021,CA-2021-116855,23320,FUR-CH-10003846,Hon Valutask Swivel Chairs,South,Consumer,Virginia,Chairs,0.00%,$81 ,5,$505 
Furniture,Fayetteville,United States,TS-21655,Trudy Schmidt,12/25/2020,CA-2020-148684,72701,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",South,Consumer,Arkansas,Furnishings,0.00%,$138 ,5,$344 
Furniture,Macon,United States,JC-15775,John Castell,9/14/2018,CA-2018-159184,31204,FUR-FU-10002878,"Seth Thomas 14"" Day/Date Wall Clock",South,Consumer,Georgia,Furnishings,0.00%,$53 ,5,$142 
Furniture,Salem,United States,AM-10705,Anne McFarland,7/21/2021,CA-2021-104731,24153,FUR-FU-10003274,Regeneration Desk Collection,South,Consumer,Virginia,Furnishings,0.00%,$4 ,5,$9 
Furniture,Virginia Beach,United States,OT-18730,Olvera Toch,10/26/2021,CA-2021-162173,23464,FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",South,Consumer,Virginia,Tables,0.00%,$61 ,5,$357 
Furniture,Lafayette,United States,MC-17275,Marc Crier,9/24/2019,CA-2019-143119,70506,FUR-CH-10001270,Harbour Creations Steel Folding Chair,South,Consumer,Louisiana,Chairs,0.00%,$155 ,6,$518 
Furniture,Little Rock,United States,LT-17110,Liz Thompson,6/1/2018,US-2018-165659,72209,FUR-FU-10001935,3M Hangers With Command Adhesive,South,Consumer,Arkansas,Furnishings,0.00%,$9 ,6,$22 
Furniture,Henderson,United States,AB-10105,Adrian Barton,11/19/2021,CA-2021-101042,42420,FUR-FU-10004665,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",South,Consumer,Kentucky,Furnishings,0.00%,$214 ,6,$822 
Furniture,Hattiesburg,United States,JS-16030,Joy Smith,7/19/2020,CA-2020-163776,39401,FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",South,Consumer,Mississippi,Furnishings,0.00%,$76 ,6,$186 
Furniture,Jackson,United States,MC-17845,Michael Chen,12/14/2020,CA-2020-146143,39212,FUR-FU-10002045,"Executive Impressions 14""",South,Consumer,Mississippi,Furnishings,0.00%,$59 ,6,$133 
Furniture,Richmond,United States,DC-13285,Debra Catini,12/7/2021,US-2021-136189,23223,FUR-FU-10000175,DAX Wood Document Frame,South,Consumer,Virginia,Furnishings,0.00%,$26 ,6,$82 
Furniture,Chesapeake,United States,NF-18385,Natalie Fritzler,2/11/2018,CA-2018-127614,23320,FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,South,Consumer,Virginia,Tables,0.00%,$75 ,6,"$1,256 "
Furniture,Mobile,United States,NW-18400,Natalie Webber,9/15/2019,CA-2019-102582,36608,FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",South,Consumer,Alabama,Chairs,0.00%,$306 ,7,"$1,057 "
Furniture,Jackson,United States,MT-17815,Meg Tillman,7/25/2020,CA-2020-104157,39212,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",South,Consumer,Mississippi,Tables,0.00%,$389 ,8,"$2,430 "
Furniture,Jonesboro,United States,LH-16900,Lena Hernandez,8/19/2018,US-2018-156559,72401,FUR-BO-10000711,"Hon Metal Bookcases, Gray",South,Consumer,Arkansas,Bookcases,0.00%,$172 ,9,$639 
Furniture,Atlanta,United States,SC-20380,Shahid Collister,5/19/2021,CA-2021-138975,30318,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,South,Consumer,Georgia,Bookcases,0.00%,$375 ,9,"$1,629 "
Furniture,Jacksonville,United States,NC-18415,Nathan Cano,10/14/2020,CA-2020-156503,28540,FUR-CH-10003606,SAFCO Folding Chair Trolley,South,Consumer,North Carolina,Chairs,20.00%,$10 ,1,$103 
Furniture,Hialeah,United States,DL-12865,Dan Lawera,10/15/2018,CA-2018-143182,33012,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",South,Consumer,Florida,Furnishings,20.00%,$4 ,1,$15 
Furniture,Memphis,United States,DC-12850,Dan Campbell,8/13/2021,CA-2021-128363,38109,FUR-FU-10003268,Eldon Radial Chair Mat for Low to Medium Pile Carpets,South,Consumer,Tennessee,Furnishings,20.00%,$0 ,1,$32 
Furniture,Pembroke Pines,United States,NR-18550,Nick Radford,6/3/2021,CA-2021-140872,33024,FUR-BO-10002824,Bush Mission Pointe Library,South,Consumer,Florida,Bookcases,20.00%,$0 ,2,$242 
Furniture,Monroe,United States,JE-15715,Joe Elijah,6/15/2021,CA-2021-126914,28110,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,South,Consumer,North Carolina,Bookcases,20.00%,($4),2,$78 
Furniture,Boynton Beach,United States,DO-13645,Doug O'Connell,9/4/2021,US-2021-117450,33437,FUR-CH-10003817,"Global Value Steno Chair, Gray",South,Consumer,Florida,Chairs,20.00%,$6 ,2,$97 
Furniture,Greenville,United States,SW-20245,Scot Wooten,2/25/2021,US-2021-134642,27834,FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",South,Consumer,North Carolina,Chairs,20.00%,($22),2,$197 
Furniture,Chattanooga,United States,TT-21070,Ted Trevino,11/29/2021,CA-2021-108035,37421,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,Tennessee,Chairs,20.00%,$49 ,2,$390 
Furniture,Jackson,United States,ES-14020,Erica Smith,11/20/2021,CA-2021-103499,38301,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,South,Consumer,Tennessee,Chairs,20.00%,($24),2,$210 
Furniture,Memphis,United States,DC-12850,Dan Campbell,8/13/2021,CA-2021-128363,38109,FUR-CH-10002073,Hon Olson Stacker Chairs,South,Consumer,Tennessee,Chairs,20.00%,$48 ,2,$424 
Furniture,Saint Petersburg,United States,LC-16885,Lena Creighton,6/12/2021,CA-2021-143861,33710,FUR-FU-10001546,Dana Swing-Arm Lamps,South,Consumer,Florida,Furnishings,20.00%,$1 ,2,$17 
Furniture,Tampa,United States,PR-18880,Patrick Ryan,4/11/2019,CA-2019-125563,33614,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,South,Consumer,Florida,Furnishings,20.00%,$10 ,2,$67 
Furniture,Tampa,United States,SW-20455,Shaun Weien,7/17/2021,CA-2021-139948,33614,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",South,Consumer,Florida,Furnishings,20.00%,$2 ,2,$8 
Furniture,Miami,United States,SS-20875,Sung Shariari,11/20/2019,CA-2019-163965,33180,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,South,Consumer,Florida,Bookcases,20.00%,($36),3,$290 
Furniture,Charlotte,United States,NF-18385,Natalie Fritzler,7/16/2021,US-2021-152842,28205,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",South,Consumer,North Carolina,Chairs,20.00%,$15 ,3,$242 
Furniture,Monroe,United States,JE-15715,Joe Elijah,6/15/2021,CA-2021-126914,28110,FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,South,Consumer,North Carolina,Chairs,20.00%,$52 ,3,$698 
Furniture,Columbia,United States,TS-21505,Tony Sayre,12/20/2018,CA-2018-134551,38401,FUR-CH-10004287,SAFCO Arco Folding Chair,South,Consumer,Tennessee,Chairs,20.00%,$75 ,3,$663 
Furniture,Knoxville,United States,GM-14440,Gary McGarr,3/21/2018,US-2018-155544,37918,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,South,Consumer,Tennessee,Chairs,20.00%,($11),3,$218 
Furniture,Miami,United States,ZC-21910,Zuschuss Carroll,3/8/2020,CA-2020-169103,33142,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",South,Consumer,Florida,Furnishings,20.00%,($4),3,$102 
Furniture,Tampa,United States,PR-18880,Patrick Ryan,4/11/2019,CA-2019-125563,33614,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",South,Consumer,Florida,Furnishings,20.00%,$14 ,3,$55 
Furniture,Jacksonville,United States,JG-15115,Jack Garza,12/3/2019,CA-2019-123092,28540,FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",South,Consumer,North Carolina,Furnishings,20.00%,$13 ,3,$78 
Furniture,Jacksonville,United States,SH-20395,Shahid Hopkins,11/3/2018,CA-2018-165764,28540,FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,South,Consumer,North Carolina,Furnishings,20.00%,($51),3,$410 
Furniture,Raleigh,United States,BW-11065,Barry Weirich,8/11/2019,CA-2019-119634,27604,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",South,Consumer,North Carolina,Furnishings,20.00%,$12 ,3,$46 
Furniture,Columbia,United States,SO-20335,Sean O'Donnell,9/9/2021,CA-2021-147228,38401,FUR-FU-10000023,Eldon Wave Desk Accessories,South,Consumer,Tennessee,Furnishings,20.00%,$4 ,3,$14 
Furniture,Knoxville,United States,GM-14440,Gary McGarr,3/21/2018,US-2018-155544,37918,FUR-FU-10001473,DAX Wood Document Frame,South,Consumer,Tennessee,Furnishings,20.00%,$7 ,3,$33 
Furniture,Nashville,United States,RB-19360,Raymond Buch,5/29/2020,CA-2020-156573,37211,FUR-FU-10001085,3M Polarizing Light Filter Sleeves,South,Consumer,Tennessee,Furnishings,20.00%,$15 ,3,$45 
Furniture,Fayetteville,United States,CM-11935,Carlos Meador,1/22/2020,US-2020-135923,28314,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",South,Consumer,North Carolina,Bookcases,20.00%,($68),4,$451 
Furniture,Deltona,United States,BM-11785,Bryan Mills,12/14/2018,CA-2018-116568,32725,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",South,Consumer,Florida,Chairs,20.00%,$14 ,4,$186 
Furniture,Miami,United States,EB-13870,Emily Burns,1/30/2021,CA-2021-148999,33142,FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",South,Consumer,Florida,Chairs,20.00%,($68),4,$419 
Furniture,Hollywood,United States,XP-21865,Xylona Preis,9/28/2018,CA-2018-114335,33021,FUR-FU-10000277,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,South,Consumer,Florida,Furnishings,20.00%,$17 ,4,$337 
Furniture,Miramar,United States,DK-12895,Dana Kaydos,11/15/2021,CA-2021-108112,33023,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",South,Consumer,Florida,Furnishings,20.00%,$55 ,4,$220 
Furniture,Miramar,United States,DK-12895,Dana Kaydos,11/15/2021,CA-2021-108112,33023,FUR-FU-10001488,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",South,Consumer,Florida,Furnishings,20.00%,$0 ,4,$339 
Furniture,Wilson,United States,SG-20470,Sheri Gordon,5/20/2019,CA-2019-153535,27893,FUR-FU-10001986,"Dana Fluorescent Magnifying Lamp, White, 36""",South,Consumer,North Carolina,Furnishings,20.00%,$20 ,4,$163 
Furniture,Hendersonville,United States,DK-12985,Darren Koutras,12/23/2021,CA-2021-140627,37075,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",South,Consumer,Tennessee,Furnishings,20.00%,$19 ,4,$73 
Furniture,Fort Lauderdale,United States,HZ-14950,Henia Zydlo,11/25/2021,CA-2021-124765,33311,FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,South,Consumer,Florida,Bookcases,20.00%,($81),5,$724 
Furniture,Greenville,United States,SW-20245,Scot Wooten,2/25/2021,US-2021-134642,27834,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",South,Consumer,North Carolina,Bookcases,20.00%,$6 ,5,$232 
Furniture,Jacksonville,United States,CJ-12010,Caroline Jumper,5/1/2021,CA-2021-102204,32216,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,South,Consumer,Florida,Chairs,20.00%,$0 ,5,"$2,804 "
Furniture,Concord,United States,BP-11290,Beth Paige,7/21/2020,CA-2020-142895,28027,FUR-CH-10002961,"Leather Task Chair, Black",South,Consumer,North Carolina,Chairs,20.00%,$0 ,5,$364 
Furniture,Chattanooga,United States,TT-21070,Ted Trevino,11/29/2021,CA-2021-108035,37421,FUR-FU-10004017,"Executive Impressions 13"" Chairman Wall Clock",South,Consumer,Tennessee,Furnishings,20.00%,$19 ,5,$102 
Furniture,Chattanooga,United States,ZD-21925,Zuschuss Donatelli,5/5/2020,US-2020-147991,37421,FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",South,Consumer,Tennessee,Furnishings,20.00%,$3 ,5,$17 
Furniture,Concord,United States,AG-10675,Anna Gayman,1/14/2020,CA-2020-133368,28027,FUR-FU-10003374,Electrix Fluorescent Magnifier Lamps & Weighted Base,South,Consumer,North Carolina,Furnishings,20.00%,$32 ,8,$316 
Furniture,Fayetteville,United States,CM-11935,Carlos Meador,1/22/2020,US-2020-135923,28314,FUR-FU-10002107,Eldon Pizzaz Desk Accessories,South,Consumer,North Carolina,Furnishings,20.00%,$4 ,8,$14 
Furniture,Greensboro,United States,DL-12865,Dan Lawera,5/2/2020,CA-2020-154060,27405,FUR-CH-10002304,"Global Stack Chair without Arms, Black",South,Consumer,North Carolina,Chairs,20.00%,$12 ,9,$187 
Furniture,Charlotte,United States,JE-15715,Joe Elijah,9/2/2020,CA-2020-106950,28205,FUR-TA-10001768,Hon Racetrack Conference Tables,South,Consumer,North Carolina,Tables,40.00%,($150),3,$473 
Furniture,Jacksonville,United States,SH-20395,Shahid Hopkins,11/3/2018,CA-2018-165764,28540,FUR-TA-10001768,Hon Racetrack Conference Tables,South,Consumer,North Carolina,Tables,40.00%,($299),6,$945 
Furniture,Jackson,United States,JL-15130,Jack Lebron,12/22/2021,CA-2021-150910,38301,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",South,Consumer,Tennessee,Tables,40.00%,($249),6,$935 
Furniture,Burlington,United States,SC-20380,Shahid Collister,11/30/2021,CA-2021-142090,27217,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,South,Consumer,North Carolina,Tables,40.00%,($653),7,"$1,782 "
Furniture,Daytona Beach,United States,SA-20830,Sue Ann Reed,4/26/2019,CA-2019-122266,32114,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,Florida,Tables,45.00%,($77),1,$192 
Furniture,Jacksonville,United States,CJ-12010,Caroline Jumper,5/1/2021,CA-2021-102204,32216,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,South,Consumer,Florida,Tables,45.00%,($458),4,$933 
Furniture,Fort Lauderdale,United States,HF-14995,Herbert Flentye,11/27/2020,CA-2020-104276,33311,FUR-TA-10001039,KI Adjustable-Height Table,South,Consumer,Florida,Tables,45.00%,($114),7,$331 
Furniture,Concord,United States,WB-21850,William Brown,12/12/2018,CA-2018-141607,94521,FUR-FU-10003975,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,West,Consumer,California,Furnishings,0.00%,$4 ,1,$43 
Furniture,Los Angeles,United States,ZC-21910,Zuschuss Carroll,11/6/2021,CA-2021-100013,90045,FUR-FU-10001424,Dax Clear Box Frame,West,Consumer,California,Furnishings,0.00%,$3 ,1,$9 
Furniture,Los Angeles,United States,MC-18100,Mick Crebagga,11/19/2021,CA-2021-126242,90049,FUR-FU-10002685,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",West,Consumer,California,Furnishings,0.00%,$7 ,1,$19 
Furniture,Westminster,United States,JL-15505,Jeremy Lonsdale,8/7/2021,CA-2021-156776,92683,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",West,Consumer,California,Furnishings,0.00%,$16 ,1,$52 
Furniture,Bellevue,United States,RD-19900,Ruben Dartt,5/26/2019,CA-2019-148964,98006,FUR-FU-10003849,"DAX Metal Frame, Desktop, Stepped-Edge",West,Consumer,Washington,Furnishings,0.00%,$8 ,1,$20 
Furniture,Seattle,United States,TR-21325,Toby Ritter,9/8/2020,CA-2020-110009,98103,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",West,Consumer,Washington,Furnishings,0.00%,$15 ,1,$43 
Furniture,Seattle,United States,FH-14350,Fred Harton,2/13/2021,CA-2021-104801,98105,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",West,Consumer,Washington,Furnishings,0.00%,$22 ,1,$108 
Furniture,Seattle,United States,GM-14680,Greg Matthias,8/11/2018,CA-2018-127012,98105,FUR-FU-10003691,"Eldon Image Series Desk Accessories, Ebony",West,Consumer,Washington,Furnishings,0.00%,$5 ,1,$12 
Furniture,Spokane,United States,BP-11230,Benjamin Patterson,11/21/2021,CA-2021-142888,99207,FUR-TA-10004767,Safco Drafting Table,West,Consumer,Washington,Tables,0.00%,$21 ,1,$71 
Furniture,Las Vegas,United States,NW-18400,Natalie Webber,11/21/2019,CA-2019-115511,89115,FUR-BO-10002598,"Hon Metal Bookcases, Putty",West,Consumer,Nevada,Bookcases,0.00%,$41 ,2,$142 
Furniture,Seattle,United States,VG-21790,Vivek Gonzalez,7/29/2021,US-2021-115301,98103,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",West,Consumer,Washington,Bookcases,0.00%,$26 ,2,$116 
Furniture,Seattle,United States,SO-20335,Sean O'Donnell,12/1/2021,CA-2021-166926,98105,FUR-BO-10002598,"Hon Metal Bookcases, Putty",West,Consumer,Washington,Bookcases,0.00%,$41 ,2,$142 
Furniture,Costa Mesa,United States,DB-13060,Dave Brooks,2/26/2021,CA-2021-121258,92627,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,West,Consumer,California,Furnishings,0.00%,$16 ,2,$92 
Furniture,Los Angeles,United States,BP-11230,Benjamin Patterson,12/15/2020,US-2020-116442,90004,FUR-FU-10002364,"Eldon Expressions Wood Desk Accessories, Oak",West,Consumer,California,Furnishings,0.00%,$4 ,2,$15 
Furniture,Los Angeles,United States,LH-17155,Logan Haushalter,6/19/2019,CA-2019-121965,90032,FUR-FU-10000732,Eldon 200 Class Desk Accessories,West,Consumer,California,Furnishings,0.00%,$4 ,2,$13 
Furniture,Los Angeles,United States,AP-10915,Arthur Prichep,9/29/2018,CA-2018-146969,90045,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,West,Consumer,California,Furnishings,0.00%,$53 ,2,$205 
Furniture,Los Angeles,United States,CS-11950,Carlos Soltero,10/21/2020,CA-2020-161746,90045,FUR-FU-10003731,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",West,Consumer,California,Furnishings,0.00%,$6 ,2,$20 
Furniture,Los Angeles,United States,JL-15835,John Lee,2/2/2021,CA-2021-161333,90045,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",West,Consumer,California,Furnishings,0.00%,$29 ,2,$86 
Furniture,Los Angeles,United States,CB-12025,Cassandra Brandow,8/28/2019,CA-2019-121188,90049,FUR-FU-10003981,Eldon Wave Desk Accessories,West,Consumer,California,Furnishings,0.00%,$2 ,2,$4 
Furniture,Los Angeles,United States,MV-17485,Mark Van Huff,1/20/2018,CA-2018-148614,90049,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,California,Furnishings,0.00%,$6 ,2,$19 
Furniture,Moreno Valley,United States,DN-13690,Duane Noonan,12/22/2020,CA-2020-114860,92553,FUR-FU-10001934,Magnifier Swing Arm Lamp,West,Consumer,California,Furnishings,0.00%,$11 ,2,$42 
